code	isolate	temp_C	replicate	axis	dpi	col_diam_mm	
IN12-9-4.25.2.2	IN12-9-4	25	2	2	1	30.8	
IN12-9-6.25.2.1	IN12-9-6	25	2	1	1	27.58	
IN12-9-6.25.2.2	IN12-9-6	25	2	2	1	28.45	
IN12-PO-3.25.2.1	IN12-PO-3	25	2	1	1	29.86	
IN12-PO-3.25.2.2	IN12-PO-3	25	2	2	1	28.78	
Md10.25.2.1	Md10	25	2	1	1	29.44	
Md10.25.2.2	Md10	25	2	2	1	29.86	
Md3.25.2.1	Md3	25	2	1	1	30.18	
Md3.25.2.2	Md3	25	2	2	1	29.21	
Md5.25.2.1	Md5	25	2	1	1	33.26	
Md5.25.2.2	Md5	25	2	2	1	33.81	
Md6.25.2.1	Md6	25	2	1	1	33.4	
Md6.25.2.2	Md6	25	2	2	1	32.49	
Md7.25.2.1	Md7	25	2	1	1	32.49	
Md7.25.2.2	Md7	25	2	2	1	32.86	
MP144.25.2.1	MP144	25	2	1	1	28.14	
MP144.25.2.2	MP144	25	2	2	1	27.58	
MP220.25.2.1	MP220	25	2	1	1	30.94	
MP220.25.2.2	MP220	25	2	2	1	30.94	
MP223.25.2.1	MP223	25	2	1	1	28.11	
MP223.25.2.2	MP223	25	2	2	1	28.11	
MP249.25.2.1	MP249	25	2	1	1	28.4	
MP249.25.2.2	MP249	25	2	2	1	28.92	
MP250.25.2.1	MP250	25	2	1	1	30.7	
MP250.25.2.2	MP250	25	2	2	1	30.7	
MP258.25.2.1	MP258	25	2	1	1	24.56	
MP258.25.2.2	MP258	25	2	2	1	25	
TN262.25.2.1	TN262	25	2	1	1	25.22	
TN262.25.2.2	TN262	25	2	2	1	25.36	
TN264.25.2.1	TN264	25	2	1	1	31.02	
TN264.25.2.2	TN264	25	2	2	1	31.2	
TN270.25.2.1	TN270	25	2	1	1	27.04	
TN270.25.2.2	TN270	25	2	2	1	27.23	
TN279.25.2.1	TN279	25	2	1	1	24.36	
TN279.25.2.2	TN279	25	2	2	1	24.52	
TN280.25.2.1	TN280	25	2	1	1	29.13	
TN280.25.2.2	TN280	25	2	2	1	29.06	
TN380.25.2.1	TN380	25	2	1	1	20.66	
TN380.25.2.2	TN380	25	2	2	1	19.74	
TN4.25.2.1	TN4	25	2	1	1	21.62	
