code	isolate	temp_C	replicate	axis	dpi	col_diam_mm_corr
Md10.30.1.1	Md10	30	1	1	1	26.61
Md10.30.1.2	Md10	30	1	2	1	26.93
Md3.30.1.1	Md3	30	1	1	1	28.32
Md3.30.1.2	Md3	30	1	2	1	28.48
Md5.30.1.1	Md5	30	1	1	1	27.48
Md5.30.1.2	Md5	30	1	2	1	27.36
Md6.30.1.1	Md6	30	1	1	1	26.36
Md6.30.1.2	Md6	30	1	2	1	26.64
Md7.30.1.1	Md7	30	1	1	1	26.45
Md7.30.1.2	Md7	30	1	2	1	26.45
MP144.30.1.1	MP144	30	1	1	1	18.02
MP144.30.1.2	MP144	30	1	2	1	18.02
MP220.30.1.1	MP220	30	1	1	1	23.94
MP220.30.1.2	MP220	30	1	2	1	23.03
MP223.30.1.1	MP223	30	1	1	1	18.95
MP223.30.1.2	MP223	30	1	2	1	18.96
MP249.30.1.1	MP249	30	1	1	1	23.87
MP249.30.1.2	MP249	30	1	2	1	23.81
MP250.30.1.1	MP250	30	1	1	1	23.13
MP250.30.1.2	MP250	30	1	2	1	21.38
MP258.30.1.1	MP258	30	1	1	1	20.48
MP258.30.1.2	MP258	30	1	2	1	20.44
TN262.30.1.1	TN262	30	1	1	1	22.17
TN262.30.1.2	TN262	30	1	2	1	22.17
TN264.30.1.1	TN264	30	1	1	1	29.82
TN264.30.1.2	TN264	30	1	2	1	29.99
TN270.30.1.1	TN270	30	1	1	1	24.19
TN270.30.1.2	TN270	30	1	2	1	24.19
TN279.30.1.1	TN279	30	1	1	1	19.37
TN279.30.1.2	TN279	30	1	2	1	20.07
TN280.30.1.1	TN280	30	1	1	1	25.64
TN280.30.1.2	TN280	30	1	2	1	25.76
TN380.30.1.1	TN380	30	1	1	1	12.69
TN380.30.1.2	TN380	30	1	2	1	13.86
TN4.30.1.1	TN4	30	1	1	1	16.53
TN4.30.1.2	TN4	30	1	2	1	16.11
TN501.30.1.1	TN501	30	1	1	1	11.28
TN501.30.1.2	TN501	30	1	2	1	10.77
TN550.30.1.1	TN550	30	1	1	1	15.01
TN550.30.1.2	TN550	30	1	2	1	15.32
W12-6.30.1.1	W12-6	30	1	1	1	17.18
W12-6.30.1.2	W12-6	30	1	2	1	17.64
W23.30.1.1	W23	30	1	1	1	21.41
W23.30.1.2	W23	30	1	2	1	20.3
W3-5.30.1.1	W3-5	30	1	1	1	14.11
W3-5.30.1.2	W3-5	30	1	2	1	14.11
Dm13.30.2.1	Dm13	30	2	1	1	32.14
Dm13.30.2.2	Dm13	30	2	2	1	33.81
Et12.30.2.1	Et12	30	2	1	1	33.73
Et12.30.2.2	Et12	30	2	2	1	34.05
Et14.30.2.1	Et14	30	2	1	1	30.62
Et14.30.2.2	Et14	30	2	2	1	30.82
Et17.30.2.1	Et17	30	2	1	1	25.59
Et17.30.2.2	Et17	30	2	2	1	25.53
Et18.30.2.1	Et18	30	2	1	1	29.35
Et18.30.2.2	Et18	30	2	2	1	29.35
IN12-4.30.2.1	IN12-4	30	2	1	1	27.9
IN12-4.30.2.2	IN12-4	30	2	2	1	26.98
IN12-8-3.30.2.1	IN12-8-3	30	2	1	1	32.14
IN12-8-3.30.2.2	IN12-8-3	30	2	2	1	31.39
IN12-9-4.30.2.1	IN12-9-4	30	2	1	1	23.31
IN12-9-4.30.2.2	IN12-9-4	30	2	2	1	23.22
IN12-9-6.30.2.1	IN12-9-6	30	2	1	1	26.36
IN12-9-6.30.2.2	IN12-9-6	30	2	2	1	25.16
IN12-PO-3.30.2.1	IN12-PO-3	30	2	1	1	25.6
IN12-PO-3.30.2.2	IN12-PO-3	30	2	2	1	25.23
Md10.30.2.1	Md10	30	2	1	1	24.19
Md10.30.2.2	Md10	30	2	2	1	23.95
Md3.30.2.1	Md3	30	2	1	1	27.05
Md3.30.2.2	Md3	30	2	2	1	27.7
Md5.30.2.1	Md5	30	2	1	1	27.24
Md5.30.2.2	Md5	30	2	2	1	26.87
Md6.30.2.1	Md6	30	2	1	1	23.68
Md6.30.2.2	Md6	30	2	2	1	25.93
Md7.30.2.1	Md7	30	2	1	1	26.65
Md7.30.2.2	Md7	30	2	2	1	26.54
MP144.30.2.1	MP144	30	2	1	1	19.17
MP144.30.2.2	MP144	30	2	2	1	18.96
MP220.30.2.1	MP220	30	2	1	1	21.72
MP220.30.2.2	MP220	30	2	2	1	22.15
MP223.30.2.1	MP223	30	2	1	1	20.18
MP223.30.2.2	MP223	30	2	2	1	20.18
MP249.30.2.1	MP249	30	2	1	1	21.99
MP249.30.2.2	MP249	30	2	2	1	22.34
MP250.30.2.1	MP250	30	2	1	1	22.83
MP250.30.2.2	MP250	30	2	2	1	22.88
MP258.30.2.1	MP258	30	2	1	1	18.08
MP258.30.2.2	MP258	30	2	2	1	18.89
TN262.30.2.1	TN262	30	2	1	1	22.71
TN262.30.2.2	TN262	30	2	2	1	24.74
