code,isolate,temp_C,replicate,axis,hpi,col_diam_mm
TN270.10.2.1,TN270,10,2,1,168,22.84
TN270.10.2.2,TN270,10,2,2,168,22.55
TN280.10.2.1,TN280,10,2,1,168,22.61
TN280.10.2.2,TN280,10,2,2,168,21.36
TN550.10.2.1,TN550,10,2,1,168,20.05
TN550.10.2.2,TN550,10,2,2,168,22.11
W12-6.10.2.1,W12-6,10,2,1,168,24.7
W12-6.10.2.2,W12-6,10,2,2,168,24.7
Dm13.10.3.1,Dm13,10,3,1,168,19.09
Dm13.10.3.2,Dm13,10,3,2,168,19.34
IN12-8-3.10.3.1,IN12-8-3,10,3,1,168,22.51
IN12-8-3.10.3.2,IN12-8-3,10,3,2,168,22.44
IN12-9-6.10.3.1,IN12-9-6,10,3,1,168,20.79
IN12-9-6.10.3.2,IN12-9-6,10,3,2,168,20.78
MP249.10.3.1,MP249,10,3,1,168,20.52
MP249.10.3.2,MP249,10,3,2,168,20.62
TN270.10.3.1,TN270,10,3,1,168,21
TN270.10.3.2,TN270,10,3,2,168,21.02
TN280.10.3.1,TN280,10,3,1,168,18.96
TN280.10.3.2,TN280,10,3,2,168,18.96
TN550.10.3.1,TN550,10,3,1,168,19.8
TN550.10.3.2,TN550,10,3,2,168,19.65
W12-6.10.3.1,W12-6,10,3,1,168,23.15
W12-6.10.3.2,W12-6,10,3,2,168,22.92
Dm13.30.1.1,Dm13,30,1,1,168,84
Dm13.30.1.2,Dm13,30,1,2,168,84
IN12-8-3.30.1.1,IN12-8-3,30,1,1,168,84
IN12-8-3.30.1.2,IN12-8-3,30,1,2,168,84
IN12-9-6.30.1.1,IN12-9-6,30,1,1,168,84
IN12-9-6.30.1.2,IN12-9-6,30,1,2,168,84
MP249.30.1.1,MP249,30,1,1,168,84
MP249.30.1.2,MP249,30,1,2,168,84
TN270.30.1.1,TN270,30,1,1,168,84
TN270.30.1.2,TN270,30,1,2,168,84
TN280.30.1.1,TN280,30,1,1,168,84
TN280.30.1.2,TN280,30,1,2,168,84
TN550.30.1.1,TN550,30,1,1,168,84
TN550.30.1.2,TN550,30,1,2,168,84
W12-6.30.1.1,W12-6,30,1,1,168,84
W12-6.30.1.2,W12-6,30,1,2,168,84
Dm13.30.2.1,Dm13,30,2,1,168,84
Dm13.30.2.2,Dm13,30,2,2,168,84
IN12-8-3.30.2.1,IN12-8-3,30,2,1,168,84
IN12-8-3.30.2.2,IN12-8-3,30,2,2,168,84
IN12-9-6.30.2.1,IN12-9-6,30,2,1,168,84
IN12-9-6.30.2.2,IN12-9-6,30,2,2,168,84
MP249.30.2.1,MP249,30,2,1,168,84
MP249.30.2.2,MP249,30,2,2,168,84
TN270.30.2.1,TN270,30,2,1,168,84
TN270.30.2.2,TN270,30,2,2,168,84
TN280.30.2.1,TN280,30,2,1,168,84
TN280.30.2.2,TN280,30,2,2,168,84
TN550.30.2.1,TN550,30,2,1,168,84
TN550.30.2.2,TN550,30,2,2,168,84
W12-6.30.2.1,W12-6,30,2,1,168,84
W12-6.30.2.2,W12-6,30,2,2,168,84
Dm13.30.3.2,Dm13,30,3,2,168,84
IN12-8-3.30.3.1,IN12-8-3,30,3,1,168,84
IN12-8-3.30.3.2,IN12-8-3,30,3,2,168,84
IN12-9-6.30.3.1,IN12-9-6,30,3,1,168,84
IN12-9-6.30.3.2,IN12-9-6,30,3,2,168,84
MP249.30.3.1,MP249,30,3,1,168,84
MP249.30.3.2,MP249,30,3,2,168,84
TN270.30.3.1,TN270,30,3,1,168,84
TN270.30.3.2,TN270,30,3,2,168,84
TN280.30.3.1,TN280,30,3,1,168,84
TN280.30.3.2,TN280,30,3,2,168,84
TN550.30.3.1,TN550,30,3,1,168,84
TN550.30.3.2,TN550,30,3,2,168,84
W12-6.30.3.1,W12-6,30,3,1,168,84
W12-6.30.3.2,W12-6,30,3,2,168,84
Dm13.10.1.1,Dm13,10,1,1,240,27.59
Dm13.10.1.2,Dm13,10,1,2,240,28.37
IN12-8-3.10.1.1,IN12-8-3,10,1,1,240,32.09
IN12-8-3.10.1.2,IN12-8-3,10,1,2,240,29.77
IN12-9-6.10.1.1,IN12-9-6,10,1,1,240,29.66
IN12-9-6.10.1.2,IN12-9-6,10,1,2,240,28.21
MP249.10.1.1,MP249,10,1,1,240,29.09
MP249.10.1.2,MP249,10,1,2,240,28.73
TN270.10.1.1,TN270,10,1,1,240,20.12
TN270.10.1.2,TN270,10,1,2,240,23.8
TN280.10.1.1,TN280,10,1,1,240,25.74
TN280.10.1.2,TN280,10,1,2,240,24.1
TN550.10.1.1,TN550,10,1,1,240,32.03
TN550.10.1.2,TN550,10,1,2,240,32.03
W12-6.10.1.1,W12-6,10,1,1,240,36.24
W12-6.10.1.2,W12-6,10,1,2,240,36.34
Dm13.10.2.1,Dm13,10,2,1,240,28.52
Dm13.10.2.2,Dm13,10,2,2,240,29.56
IN12-8-3.10.2.1,IN12-8-3,10,2,1,240,23.36
IN12-8-3.10.2.2,IN12-8-3,10,2,2,240,25.59
IN12-9-6.10.2.1,IN12-9-6,10,2,1,240,22.52
IN12-9-6.10.2.2,IN12-9-6,10,2,2,240,23.1
MP249.10.2.1,MP249,10,2,1,240,27.94
